amp1,x01,w1,y0
19.66,499.35,17.27,0.08
33.24,498.56,16.71,-0.15
26.69,494.24,14.52,-0.01
10.2,494.82,17.0,-0.11
12.26,503.46,23.78,0.01
13.16,497.9,19.85,-0.08
9.4,497.23,19.14,-0.06
6.18,494.88,18.86,-0.03
9.39,493.77,16.78,0.06
27.94,497.55,14.58,0.07
19.79,495.64,14.06,0.08
12.08,495.58,16.12,0.08
16.62,496.24,15.25,-0.05
15.49,495.36,15.83,-0.02
10.58,493.36,17.46,-0.08
4.79,493.56,17.43,0.02
11.0,496.99,16.0,-0.06
7.62,495.95,16.93,-0.11
7.3,497.94,18.77,-0.04
9.95,498.06,19.09,-0.18
17.48,497.6,16.93,-0.02
17.19,497.07,16.5,0.05
12.43,494.09,15.11,-0.08
9.93,497.66,18.11,-0.07
10.42,497.38,16.97,-0.09
8.8,495.75,15.57,-0.08
13.61,495.59,12.41,0.02
7.19,494.62,14.98,0.06
15.81,497.32,16.64,0.0
17.26,496.23,15.68,-0.09
10.72,496.26,17.49,-0.09
13.45,502.75,19.92,-0.08
11.54,496.37,16.35,0.1
12.77,493.81,14.42,0.02
16.86,491.86,13.17,-0.06
14.24,490.93,12.85,0.01
10.16,494.23,15.81,0.03
12.75,495.48,15.97,0.01
8.52,497.62,17.88,0.07
7.21,495.33,16.35,-0.12
10.22,496.22,13.7,-0.05
9.77,495.01,15.66,0.02
22.77,496.77,14.52,-0.01
21.49,501.31,16.51,0.19
15.23,498.91,17.55,0.07
4.53,493.0,16.45,-0.08
12.91,495.74,15.42,0.06
8.32,495.38,15.75,-0.02
9.1,497.86,18.93,-0.12
11.54,498.95,17.44,-0.02
11.23,493.02,15.31,-0.0
26.47,493.85,14.77,-0.04
24.75,497.85,16.83,0.05
11.83,497.0,17.53,-0.01
17.25,500.56,20.9,-0.08
22.06,496.43,16.66,-0.02
10.72,493.23,16.96,-0.01
11.1,494.56,17.49,-0.05
12.18,495.67,17.1,-0.08
20.26,499.29,16.43,-0.02
14.57,496.54,16.53,-0.07
5.72,495.02,16.97,0.04
10.53,494.87,15.13,-0.05
16.32,498.23,16.18,-0.05
16.51,500.34,19.01,-0.1
12.86,500.01,18.61,-0.13
17.98,499.8,16.35,0.02
22.17,495.76,15.28,0.11
12.13,493.5,16.32,-0.05
13.81,496.3,16.33,0.01
15.15,496.02,15.02,-0.07
5.9,492.75,15.89,-0.11
6.17,496.29,19.25,-0.04
16.28,500.15,18.08,-0.04
12.27,498.76,17.02,0.03
10.35,496.09,15.19,-0.08
17.57,496.43,12.91,0.03
14.1,494.32,14.3,0.07
25.11,497.8,16.09,0.29
24.89,494.57,13.59,0.22
16.29,497.02,16.36,0.02
27.76,502.01,16.97,-0.15
16.2,499.24,16.52,0.04
13.5,498.1,17.31,-0.01
18.97,493.55,14.7,-0.01
23.75,494.94,12.95,0.1
19.83,495.07,14.01,-0.13
12.39,495.68,15.69,-0.01
5.22,494.05,18.12,-0.0
9.36,494.67,14.29,-0.09
12.99,495.07,13.24,0.1
10.47,494.58,16.87,0.02
18.42,497.51,16.26,0.08
22.23,500.12,16.89,0.02
14.29,498.53,16.66,0.04
9.1,495.15,15.93,-0.16
34.0,496.01,11.7,0.0
12.87,494.28,14.7,0.08
18.79,501.32,18.99,-0.08
17.08,500.5,17.26,-0.06
8.48,490.64,14.62,-0.07
14.86,492.78,15.6,-0.01
19.82,495.84,16.89,-0.14
12.93,493.49,17.03,-0.03
18.8,496.92,17.68,-0.13
22.82,499.13,17.29,-0.01
19.29,494.79,16.5,-0.04
14.57,495.35,16.48,0.01
12.32,495.91,16.76,-0.06
17.92,497.36,17.59,-0.13
13.63,494.3,16.69,-0.11
7.52,492.02,16.71,-0.03
6.86,492.03,16.81,0.03
12.49,499.12,18.38,-0.02
27.81,502.75,18.99,-0.02
17.26,500.26,18.88,-0.05
24.59,499.8,17.08,0.04
23.31,495.88,16.16,-0.11
20.4,493.66,15.16,0.0
10.34,496.25,17.26,-0.11
10.62,498.22,17.63,-0.05
5.83,495.91,18.17,-0.11
8.5,496.14,17.98,0.02
