amp1,x01,w1,y0
6.24,497.82,18.55,-0.04
5.17,494.54,20.5,0.06
6.75,491.0,15.78,0.09
10.31,493.64,14.71,-0.1
11.71,494.8,16.39,0.09
13.62,494.7,15.11,0.15
13.13,496.16,16.65,0.13
11.76,495.9,16.04,0.04
9.92,495.24,16.92,0.12
11.95,500.22,17.89,-0.21
12.81,499.47,17.78,-0.09
8.93,497.59,17.54,-0.04
6.11,495.48,16.78,0.18
10.23,497.05,15.69,0.15
13.72,497.5,17.13,0.06
12.56,497.21,19.23,-0.42
10.62,492.3,15.88,0.03
9.44,493.69,16.86,0.23
15.53,496.36,16.17,-0.26
17.09,497.76,17.03,0.0
10.66,491.36,15.2,-0.04
18.54,493.48,15.43,0.07
21.11,495.1,14.48,0.03
15.51,499.28,16.89,-0.08
15.8,500.41,18.12,-0.17
19.16,498.41,17.18,-0.01
17.55,499.09,16.63,-0.11
9.62,499.41,17.99,-0.04
12.05,497.61,16.87,0.08
15.4,500.14,17.52,0.12
21.75,503.36,17.08,0.16
26.99,503.3,17.15,0.01
14.39,500.85,18.25,-0.1
9.9,497.55,18.42,-0.03
12.28,497.29,17.27,-0.17
15.02,495.43,15.87,0.24
13.23,498.16,17.96,-0.03
10.46,503.65,19.71,-0.17
5.16,502.25,21.58,-0.02
2.91,497.85,20.54,-0.06
3.78,497.72,20.15,0.16
4.6,499.27,21.72,-0.01
3.15,495.99,21.81,-0.22
3.14,490.08,16.14,-0.1
6.79,492.96,15.82,0.22
15.85,495.09,14.72,0.2
20.63,495.31,15.58,0.07
17.93,495.92,16.25,0.27
17.19,498.29,16.0,-0.03
12.97,498.0,17.65,-0.15
10.72,492.56,15.5,0.05
11.79,491.7,15.18,-0.17
12.32,492.33,14.31,0.11
7.12,492.24,15.98,-0.25
4.32,492.03,16.64,0.06
6.44,495.48,16.97,0.01
9.84,496.19,15.0,0.08
7.57,496.79,16.11,-0.1
5.45,492.51,17.14,-0.16
8.47,491.29,16.05,-0.05
14.22,492.46,15.97,0.18
17.17,493.64,16.59,0.18
21.07,495.86,15.63,-0.04
24.73,495.47,14.12,0.16
19.35,494.11,14.25,0.08
11.4,493.75,15.85,0.19
10.02,496.17,18.13,0.06
11.65,498.58,18.63,0.0
12.78,496.72,16.13,0.07
17.13,494.68,14.01,0.04
21.46,496.45,15.03,0.02
19.95,498.0,17.8,0.11
16.15,496.76,18.79,0.13
15.52,495.34,16.46,-0.23
13.81,495.62,15.03,-0.03
9.85,494.57,15.77,-0.14
6.99,492.98,14.77,-0.08
7.03,494.08,16.69,-0.01
7.2,496.71,18.23,0.03
5.09,497.27,18.27,-0.07
5.02,495.13,17.92,-0.08
5.74,493.24,16.33,-0.02
5.75,491.79,17.23,0.22
7.19,492.2,14.96,-0.17
10.9,493.0,13.65,-0.1
13.44,494.33,14.73,-0.09
13.48,495.55,15.04,-0.15
12.16,495.34,14.64,-0.27
11.88,495.23,15.24,-0.16
10.49,494.93,15.35,0.1
9.83,493.66,15.4,0.09
9.7,493.76,16.99,0.12
14.77,494.75,16.63,0.07
20.15,493.69,15.28,0.23
17.97,492.35,14.05,0.1
8.44,490.95,14.43,-0.03
5.2,494.23,18.09,0.07
7.05,493.51,15.97,0.14
8.36,497.92,19.3,-0.03
11.32,500.36,18.41,0.04
13.27,501.47,18.54,0.07
9.57,497.93,17.37,0.07
7.43,494.94,17.01,-0.0
7.28,494.28,16.55,-0.02
7.16,495.79,17.27,-0.09
8.97,496.75,17.63,-0.11
9.97,495.68,16.99,-0.06
10.23,494.6,16.36,0.1
10.18,495.33,17.28,-0.18
11.02,498.36,19.52,-0.19
10.71,498.76,19.42,-0.08
8.76,496.1,16.62,-0.01
9.81,496.73,15.12,-0.05
16.29,498.2,15.3,-0.07
19.19,500.38,16.88,-0.09
15.8,500.19,18.89,-0.05
9.34,495.68,19.24,-0.08
10.04,494.34,18.14,-0.03
14.51,496.98,18.51,-0.14
14.4,499.93,19.63,-0.19
9.5,492.13,16.4,-0.03
16.0,492.75,14.69,-0.21
21.98,495.43,14.72,0.14
24.12,499.06,15.77,-0.18
20.75,501.02,17.07,-0.21
19.57,500.82,16.99,0.07
17.74,503.17,17.75,-0.13
11.09,501.73,17.96,-0.05
10.74,499.17,17.51,-0.03
